Taman Kota Depok:
1. Depok City Hall Park, -6.393676, 106.81966
2. Taman Kukusan, -6.3661929, 106.8008642

Waduk di Depok:
1. Situ Rawa Besar Depok, -6.3719405,106.7474781
2. Situ Sawangan, -6.3863889, 106.6363776

Rumah Sakit di Depok:
1. Mitra Keluarga, -6.3860346, 106.6363773
2. RSU Hermina, -6.3860346, 106.6363773

Lapangan/GOR di Depok:
1. Gor Bulutangkis Shaninaza Depok, -6.3856803, 106.636377
2. Depok Sport Hall, -6.3856803, 106.636377
